,core,series_size,xtsne,ytsne,MID,ASID,newASID
0,CC1OC(OCC2OC(Oc3coc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,3,-14.481366,-102.29459,M86,AS4,1
1,CC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,3,-97.35688,-66.595146,M76,AS4,1
2,O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21,3,-94.29174,134.5143,M11,AS1,2
3,O=C1c2c(O)cc(O)cc2OC(c2ccccc2)C1O,3,-49.824314,158.51544,M14,AS1,2
4,O=c1c(O)coc2cc(O)cc(O)c12,2,-11.105565,-0.1031446,M90,AS33,3
5,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2,-107.17599,41.263527,M73,AS9,4
6,COc1cc(O)c2c(=O)c(OC)coc2c1,2,18.884726,88.4096,M67,AS40,5
7,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2,-89.73544,-8.392922,M64,AS10,6
8,O=c1ccoc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,2,96.00923,-60.546146,M79,AS23,7
9,O=c1c(OC2OC(CO)C(O)C(O)C2O)coc2cc(O)cc(O)c12,2,28.307714,-68.38233,M84,AS35,8
10,O=c1ccoc2c(C3OC(CO)C(O)C(O)C3O)c(O)cc(O)c12,2,150.26395,-36.327305,M69,AS19,9
11,COc1c(O)cc2occ(O)c(=O)c2c1O,2,52.495502,24.070675,M138,AS31,10
12,COc1coc2cc(O)cc(O)c2c1=O,2,-19.212479,53.02407,M88,AS34,11
13,COc1c(O)cc2occc(=O)c2c1O,2,108.62683,45.644215,M103,AS15,12
14,COc1cc(O)c2c(=O)ccoc2c1,2,82.173645,96.688545,M101,AS22,13
